Step	,episode.rwd	,episode.q	,episode.loss	,epsilon	,time
63851	,2	,10.7983699217	,0.685752509939	0.936149	,971.712790966
64037	,2	,9.34284158796	,0.591787055752	0.935963	,974.339252949
64252	,2	,11.3195771556	,0.840134807349	0.935748	,977.444232941
64454	,2	,10.6482911687	,0.839185901002	0.935546	,980.450731993
64591	,0	,6.83625138551	,0.389869466323	0.935409	,982.736326933
64799	,2	,10.6140260473	,0.685159220936	0.935201	,986.183651924
64970	,1	,8.83429507725	,0.652818193746	0.93503	,988.919857979
65140	,1	,8.69212676212	,0.498334993718	0.93486	,991.687508106
65283	,0	,7.17972838506	,0.497646440047	0.934717	,994.188818932
65477	,1	,10.0193259679	,0.623121219601	0.934523	,997.218669891
65702	,2	,11.2230162136	,0.639439762063	0.934298	,1000.58753896
65858	,1	,7.87102217972	,0.52957685625	0.934142	,1002.91506791
66016	,0	,8.2586438451	,0.622278655262	0.933984	,1005.28861403
66145	,0	,6.73561289534	,0.450923757031	0.933855	,1007.26046395
66361	,2	,11.0258897096	,0.67027612845	0.933639	,1010.31908393
66517	,1	,8.0126892738	,0.621745930265	0.933483	,1012.53008103
66688	,1	,8.64999549463	,0.452216541715	0.933312	,1014.99537611
66945	,3	,13.4276793897	,0.979548964576	0.933055	,1018.56583309
67078	,0	,6.83098005131	,0.451638370223	0.932922	,1020.47701502
67288	,2	,11.0303139724	,0.80826062069	0.932712	,1023.76319194
67554	,3	,13.3998976853	,0.6863780858	0.932446	,1028.17074203
67735	,1	,9.35912521929	,0.684608439376	0.932265	,1031.23569894
67876	,0	,7.24137424678	,0.421131720191	0.932124	,1033.5313549
68021	,0	,7.37059230544	,0.452067148155	0.931979	,1035.83783388
68279	,3	,13.016557863	,0.809712969213	0.931721	,1039.87935305
68505	,2	,11.3757214695	,0.639676632286	0.931495	,1043.34864092
68646	,0	,7.40524017066	,0.575319627866	0.931354	,1045.59139895
68880	,2	,11.9803341515	,0.747126496549	0.93112	,1049.36255002
69022	,0	,7.57082955167	,0.575499089323	0.930978	,1051.5960691
69162	,0	,7.2759148702	,0.512730117098	0.930838	,1053.78519702
69425	,3	,13.5939818993	,0.872225788112	0.930575	,1057.83468294
69638	,2	,11.1283771954	,0.870502270122	0.930362	,1060.77799797
69873	,3	,12.0354547538	,0.854999473879	0.930127	,1064.190341
70081	,2	,11.4007341564	,0.793982006636	0.929919	,1067.23298407
70260	,1	,10.806271378	,0.685069554753	0.92974	,1069.87805605
